product,sku,supplier,department,type,displayed_price,expected_price,pricelist_line,status,issue,correction
Amiyah,L2865,Matrix,,,Removed,,,FAIL,"no 'None' line exists for this collection; $9,762 is the '3 pc set' line","Removed from the storefront — collection heading, not a sellable product"
Baltimore,B853,Matrix,,,Removed,,,FAIL,"no 'None' line exists for this collection; $5,667 is the 'queen complete set w/ lift up' line","Removed from the storefront — collection heading, not a sellable product"
Sterling,1714,Matrix,,,Removed,,,FAIL,"no 'None' line exists for this collection; $5,352 is the 'queen complete set w/ lift up' line","Removed from the storefront — collection heading, not a sellable product"
Sterling,1814,Matrix,,,Removed,,,FAIL,"no 'None' line exists for this collection; $5,352 is the 'queen complete set w/ lift up' line","Removed from the storefront — collection heading, not a sellable product"
1366T Youth — Rowan Collection,1366TYouth,Mazin,Bedroom,youth,On request,,,FAIL,no 'None' line in this collection; $353 is 'Mirror',Price withdrawn — now Price on request (no supplier line proves it)
1718BR Bedroom — Begonia Collection,1718BRBedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $315 is 'Mirror',Price withdrawn — now Price on request (no supplier line proves it)
1718NC Bedroom — Begonia Collection,1718NCBedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $315 is 'Mirror',Price withdrawn — now Price on request (no supplier line proves it)
1730NB Bedroom — Cotterill Collection,1730NBBedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $230 is 'Full Footboard & Slats',Price withdrawn — now Price on request (no supplier line proves it)
2322 Bedroom — York Collection,2322Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $258 is 'Full/Twin Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
2336 Bedroom — Charlotte Collection,2336Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $425 is 'Mirror w/beveled Hickory Acacia',Price withdrawn — now Price on request (no supplier line proves it)
2384 Bedroom — Linea Collection,2384Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $290 is 'Wall Panels for Night Stand Piece',Price withdrawn — now Price on request (no supplier line proves it)
2390 Bedroom — Lumin Collection,2390Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $488 is 'Mirror w/LED',Price withdrawn — now Price on request (no supplier line proves it)
2391 Bedroom — Noctis Collection,2391Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $539 is 'Mirror',Price withdrawn — now Price on request (no supplier line proves it)
2392 Bedroom — Bridgepoint Collection,2392Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $293 is 'Eastern King/Queen Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
2393 Bedroom — Dalston Collection,2393Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $268 is 'Mirror',Price withdrawn — now Price on request (no supplier line proves it)
2399 Bedroom — Emerson Collection,2399Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $945 is 'Queen Uph Bed in a Box',Price withdrawn — now Price on request (no supplier line proves it)
2411 Bedroom — Fitzroy Collection,2411Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,"no 'None' line in this collection; $1,969 is 'Queen Bed w/Fireplace Corduroy'",Price withdrawn — now Price on request (no supplier line proves it)
2418 Bedroom — Oakmont Collection,2418Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $400 is 'Eastern King/Queen Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
2424 Bedroom — Gilmartin Collection,2424Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,"no 'None' line in this collection; $1,030 is 'Eastern King/Queen Side Rails'",Price withdrawn — now Price on request (no supplier line proves it)
2425 Bedroom — Garrison Collection,2425Bedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $337 is 'Eastern King/Queen Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
2434SV Bedroom — Anatole Collection,2434SVBedroom,Mazin,Bedroom,beds,On request,,,FAIL,no 'None' line in this collection; $621 is 'Eastern King/Queen Side Rails',Price withdrawn — now Price on request (no supplier line proves it)
