Supplier,SKU,Product,Department,Type,Supplier price (net),Our price (net x 3.15),Margin $,From price?,Photo URL
A-Class,1212,1212,Living Room,Sectionals,1100.00,3465.00,2365.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/12121.jpg
A-Class,1212,1212 — Sofa,Living Room,Sofas,515.00,1622.00,1107.00,No,https://www.aclassfurniture.ca/uploads/product_images/12121.jpg
A-Class,1213,1213,Living Room,Sectionals,1250.00,3938.00,2688.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/se1.jpg
A-Class,1213,1213 — Sofa,Living Room,Sofas,475.00,1496.00,1021.00,No,https://www.aclassfurniture.ca/uploads/product_images/se1.jpg
A-Class,1220,1220,Living Room,Sectionals,1275.00,4016.00,2741.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/SOFA_20A.jpg
A-Class,1220,1220,Living Room,Sectionals,1275.00,4016.00,2741.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/a_class_sectional_angle2.jpg
A-Class,1220,1220 — Sofa,Living Room,Sofas,475.00,1496.00,1021.00,No,https://www.aclassfurniture.ca/uploads/product_images/SOFA_20A.jpg
A-Class,1250,1250,Living Room,Sectionals,1200.00,3780.00,2580.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/se11.jpg
A-Class,1250,1250 — Sofa,Living Room,Sofas,515.00,1622.00,1107.00,No,https://www.aclassfurniture.ca/uploads/product_images/se11.jpg
A-Class,1257,1257,Living Room,Sectionals,1100.00,3465.00,2365.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/SOFA_18A.jpg
A-Class,1257,1257 — Sofa,Living Room,Sofas,515.00,1622.00,1107.00,No,https://www.aclassfurniture.ca/uploads/product_images/SOFA_18A.jpg
A-Class,1260,1260,Living Room,Sectionals,1100.00,3465.00,2365.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/assets_uploads_product_images_12602.jpg
A-Class,1260,1260 — Sofa,Living Room,Sofas,335.00,1055.00,720.00,No,https://www.aclassfurniture.ca/uploads/product_images/assets_uploads_product_images_12602.jpg
A-Class,1270,1270,Living Room,Sectionals,1000.00,3150.00,2150.00,Yes,https://www.aclassfurniture.ca/uploads/product_images/1270.jpg
